id,name,album,album_id,artists,artist_ids,track_number,disc_number,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,year,release_date
7KoYZb5Io55vvQHBJnaMT5,Levitating (feat. DaBaby),Levitating EP,5HaIikztvnTIwx2QA5YsmX,"['Dua Lipa', 'DaBaby']","['6M2wZ9GZgrQXHCFfjv46we', '4r63FhuTkUYltbVAg5TQnk']",1,1,False,0.7020000000000001,0.825,6,-3.787,0,0.0601,0.00883,0.0,0.0674,0.915,102.977,203064,4.0,2020,2020-11-20
2Oycxb8QbPkpHTo8ZrmG0B,Prisoner (feat. Dua Lipa),Plastic Hearts,5BRhg6NSEZOj0BR6Iz56fR,"['Miley Cyrus', 'Dua Lipa']","['5YGY8feqx7naU7z4HrwZM6', '6M2wZ9GZgrQXHCFfjv46we']",4,1,False,0.7809999999999999,0.67,3,-3.912,0,0.0452,0.0103,0.0,0.0761,0.595,127.99,169333,4.0,2020,2020-11-27
6KWs55JWUNqgII6O97F5Gr,"Electricity (feat. Diplo, Dua Lipa & Mark Ronson) - Radio Edit","NOW That's What I Call Music, Vol. 69",0lSF3fStnLLcmNBYdtXD1M,"['Silk City', 'Diplo', 'Dua Lipa', 'Mark Ronson']","['2X97ZAqRKRMYFIDqtvGgGc', '5fMUXHkw8R8eOP2RNVYEZX', '6M2wZ9GZgrQXHCFfjv46we', '3hv9jJF3adDNsBSIQDqcjp']",5,1,False,0.5820000000000001,0.672,0,-6.3320000000000025,1,0.0444,0.0107,4.56e-06,0.36200000000000004,0.5489999999999999,118.227,219427,4.0,2019,2019-02-01
5tsZgJv9QqdrIqxU9piCku,One Kiss (with Dua Lipa) - R3HAB Remix,One Kiss (with Dua Lipa) [Remixes],5vH3ugictBcayQWRWgfvpN,"['Calvin Harris', 'Dua Lipa', 'R3HAB']","['7CajNmpbOovFoOoasH2HaY', '6M2wZ9GZgrQXHCFfjv46we', '6cEuCEZu7PAE9ZSzLLc2oQ']",1,1,False,0.59,0.919,9,-3.3139999999999996,0,0.146,0.158,0.00021400000000000002,0.0595,0.133,126.926,190866,4.0,2018,2018-07-13
3uBO402IWL4Ci4K5MHIV27,"New Love - Live from Spotify, London",Spotify Session,3NW16XZ8U99Qm8E9v52UTz,['Dua Lipa'],['6M2wZ9GZgrQXHCFfjv46we'],2,1,False,0.382,0.289,8,-7.566,1,0.0357,0.934,0.0,0.705,0.32299999999999995,84.279,187093,4.0,2016,2016-07-08
6kGoGtZzmlW6fX6ZNEAyjb,"Hotter Than Hell - Live from Spotify, London",Spotify Session,3NW16XZ8U99Qm8E9v52UTz,['Dua Lipa'],['6M2wZ9GZgrQXHCFfjv46we'],5,1,False,0.725,0.611,3,-5.2570000000000014,0,0.122,0.8370000000000001,0.0,0.85,0.493,109.837,207360,4.0,2016,2016-07-08
69QmvPaWVL2bKODWev93An,"Be the One - Live from Spotify, London",Spotify Session,3NW16XZ8U99Qm8E9v52UTz,['Dua Lipa'],['6M2wZ9GZgrQXHCFfjv46we'],4,1,False,0.44,0.77,7,-4.7669999999999995,0,0.0542,0.665,0.00119,0.8759999999999999,0.591,174.359,199509,4.0,2016,2016-07-08
7wIYDzWW82O6Rc4vGuzjND,"I'm Not the Only One - Live from Spotify, London",Spotify Session,3NW16XZ8U99Qm8E9v52UTz,['Dua Lipa'],['6M2wZ9GZgrQXHCFfjv46we'],3,1,False,0.455,0.265,5,-8.468,1,0.0491,0.861,0.0,0.685,0.324,176.03599999999997,195840,4.0,2016,2016-07-08
4VZXB1paIf867OlmQg89GU,New Love,New Love,3y9KX279BOc4iFpMoM1y72,['Dua Lipa'],['6M2wZ9GZgrQXHCFfjv46we'],1,1,False,0.579,0.621,1,-8.625,1,0.0445,0.152,4.01e-06,0.0869,0.34299999999999997,90.354,271935,4.0,2015,2015-08-21
7kJlTKjNZVT26iwiDUVhRm,Blow Your Mind (Mwah),Blow Your Mind (Mwah),7fb7W4noziWjuzWsdr3DzT,['Dua Lipa'],['6M2wZ9GZgrQXHCFfjv46we'],1,1,True,0.654,0.7959999999999999,2,-4.761,0,0.122,0.0188,0.0,0.0948,0.491,108.854,178583,4.0,2016,2016-08-26
1z5jOmNswvnzjC5gFLu5Dv,Hotter Than Hell,Hotter Than Hell,4W8ubS7Ee8pmGXhWNlX4zx,['Dua Lipa'],['6M2wZ9GZgrQXHCFfjv46we'],1,1,False,0.532,0.868,3,-4.23,0,0.0908,0.011000000000000001,0.0,0.0584,0.529,110.12700000000001,187958,4.0,2016,2016-05-06
1v3bR4v6SruaE8efrTUqqp,Lost In Your Light (feat. Miguel),Lost in Your Light (feat. Miguel),62p5XdeJZ6LMZ94D37rMM1,"['Dua Lipa', 'Miguel']","['6M2wZ9GZgrQXHCFfjv46we', '360IAlyVv4PCEVjgyMZrxK']",1,1,False,0.6459999999999999,0.772,2,-3.826,1,0.0564,0.00040199999999999996,0.0,0.102,0.414,117.09700000000001,203769,4.0,2017,2017-04-21
1Oc6LH83W9huJq6u4ZcWIH,Genesis,Dua Lipa (Complete Edition),0obMz8EHnr3dg6NCUK4xWp,['Dua Lipa'],['6M2wZ9GZgrQXHCFfjv46we'],1,1,False,0.715,0.5720000000000001,7,-6.853,1,0.0745,0.0244,0.0,0.26,0.429,113.02,205720,4.0,2018,2018-10-19
3NqtXWHYIV3VxdRZ7uJwYZ,Lost In Your Light (feat. Miguel),Dua Lipa (Complete Edition),0obMz8EHnr3dg6NCUK4xWp,"['Dua Lipa', 'Miguel']","['6M2wZ9GZgrQXHCFfjv46we', '360IAlyVv4PCEVjgyMZrxK']",2,1,False,0.6459999999999999,0.772,2,-3.826,1,0.0564,0.00040199999999999996,0.0,0.102,0.414,117.09700000000001,203769,4.0,2018,2018-10-19
3R91ySVDSOjcxpW5PZF394,Hotter Than Hell,Dua Lipa (Complete Edition),0obMz8EHnr3dg6NCUK4xWp,['Dua Lipa'],['6M2wZ9GZgrQXHCFfjv46we'],3,1,False,0.532,0.868,3,-4.23,0,0.0908,0.011000000000000001,0.0,0.0584,0.529,110.12700000000001,187958,4.0,2018,2018-10-19
2lOuvydCaSk8asn1HxBO9r,Be the One,Dua Lipa (Complete Edition),0obMz8EHnr3dg6NCUK4xWp,['Dua Lipa'],['6M2wZ9GZgrQXHCFfjv46we'],4,1,False,0.6609999999999999,0.6509999999999999,7,-3.7710000000000004,0,0.0499,0.11699999999999999,1.32e-05,0.055999999999999994,0.368,87.46,202915,4.0,2018,2018-10-19
6acdKgBrJoYKbJD6WhG81R,IDGAF,Dua Lipa (Complete Edition),0obMz8EHnr3dg6NCUK4xWp,['Dua Lipa'],['6M2wZ9GZgrQXHCFfjv46we'],5,1,True,0.836,0.544,7,-5.975,1,0.0943,0.0403,0.0,0.0824,0.51,97.02799999999999,217947,4.0,2018,2018-10-19
