candidate_index,name,artists,album,year,latent_similarity,feature_similarity,artist_similarity,final_score
1356,Лунапарк,['Philipp Kirkorov'],"Лучшее, любимое и только для Вас!",1999,0.92465866,0.92952573,0.5,0.8829228
1363,Ты мне скажи,['Philipp Kirkorov'],"Лучшее, любимое и только для Вас!",1999,0.9199765,0.8557762,0.5,0.8683488
1360,Если б знал я тогда,['Philipp Kirkorov'],"Лучшее, любимое и только для Вас!",1999,0.90751874,0.8999144,0.5,0.8656262
1364,Остывшее сердце,['Philipp Kirkorov'],"Лучшее, любимое и только для Вас!",1999,0.9138846,0.84291625,0.5,0.86185086
1366,Киса,['Philipp Kirkorov'],"Лучшее, любимое и только для Вас!",1999,0.9029089,0.8973178,0.5,0.8617794
1370,Я не вижу выхода,['Philipp Kirkorov'],"Лучшее, любимое и только для Вас!",1999,0.9034312,0.8720077,0.5,0.85837454
254,Мало,['Philipp Kirkorov'],"Лучшее, любимое и только для Вас!",1999,0.89561814,0.87923354,0.5,0.85359865
1361,"Эх, дорога",['Philipp Kirkorov'],"Лучшее, любимое и только для Вас!",1999,0.90442353,0.8320038,0.5,0.85311824
1358,Женские глаза,['Philipp Kirkorov'],"Лучшее, любимое и только для Вас!",1999,0.90056866,0.83340526,0.5,0.8504373
1368,Не расстались мы,['Philipp Kirkorov'],"Лучшее, любимое и только для Вас!",1999,0.8943504,0.8601102,0.5,0.8497793
