id,name,album,album_id,artists,artist_ids,track_number,disc_number,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,year,release_date
117PkfBYudl1lSoFFAvOM4,Estoy Aquí,Grandes Exitos,3JhHRFetUgAWw376a3sk6C,['Shakira'],['0EmeFodog0BfCgMzAIvKQp'],1,1,False,0.731,0.871,2,-5.079,1,0.0403,0.022000000000000002,0.0,0.0717,0.71,116.944,233827,4.0,2002,2002
1I1DRPWM8iIYEbsuGMbaR3,Antologia,Grandes Exitos,3JhHRFetUgAWw376a3sk6C,['Shakira'],['0EmeFodog0BfCgMzAIvKQp'],2,1,False,0.8440000000000001,0.465,0,-8.443999999999999,1,0.0295,0.489,5.56e-06,0.095,0.556,97.964,251053,4.0,2002,2002
6L2b1t7U13zxwDXHWSjHQk,Un Poco de Amor,Grandes Exitos,3JhHRFetUgAWw376a3sk6C,['Shakira'],['0EmeFodog0BfCgMzAIvKQp'],3,1,False,0.8190000000000001,0.83,11,-6.75,1,0.0388,0.0688,5.02e-06,0.0503,0.9570000000000001,101.48,240840,4.0,2002,2002
2QxdPHAHWvC0kjpFepDjb3,Donde Estas Corazon,Grandes Exitos,3JhHRFetUgAWw376a3sk6C,['Shakira'],['0EmeFodog0BfCgMzAIvKQp'],4,1,False,0.745,0.8690000000000001,2,-5.952999999999999,1,0.0753,0.0686,0.0,0.11800000000000001,0.591,109.07799999999999,232280,4.0,2002,2002
7rl3NjLzloRZGki6Vxuz5l,Que Me Quedes Tu,Grandes Exitos,3JhHRFetUgAWw376a3sk6C,['Shakira'],['0EmeFodog0BfCgMzAIvKQp'],5,1,False,0.7609999999999999,0.505,7,-8.356,0,0.0267,0.27,5.11e-05,0.28600000000000003,0.387,113.029,287813,4.0,2002,2002
2N2yP5pM8VIZHdJR3dENT2,No Creo - En Vivo,Grandes Exitos,3JhHRFetUgAWw376a3sk6C,['Shakira'],['0EmeFodog0BfCgMzAIvKQp'],8,1,False,0.605,0.8059999999999999,2,-6.565,1,0.105,0.159,1.22e-05,0.991,0.795,136.368,253040,4.0,2002,2002
5tdWyz9U3pbmenWJfG1bDj,Si Te Vas,Grandes Exitos,3JhHRFetUgAWw376a3sk6C,['Shakira'],['0EmeFodog0BfCgMzAIvKQp'],7,1,False,0.675,0.914,2,-4.513,1,0.0408,0.0499,0.0,0.252,0.826,107.83200000000001,210533,4.0,2002,2002
53omHAZC5Onf7gLzSOOtMP,Ojos Así,Grandes Exitos,3JhHRFetUgAWw376a3sk6C,['Shakira'],['0EmeFodog0BfCgMzAIvKQp'],10,1,False,0.715,0.9570000000000001,1,-4.672,1,0.0464,0.14300000000000002,0.0,0.127,0.685,126.999,237533,4.0,2002,2002
4qknM1pQz53QOyfDVTjcM9,Me Enamoré,El Dorado,6bUxh58rYTL67FS8dyTKMN,['Shakira'],['0EmeFodog0BfCgMzAIvKQp'],1,1,False,0.74,0.879,9,-2.251,0,0.105,0.193,8.25e-05,0.0928,0.948,103.71,226893,4.0,2017,2017-05-26
1D8bmUIhLHEO4KMS2SHwUx,Nada,El Dorado,6bUxh58rYTL67FS8dyTKMN,['Shakira'],['0EmeFodog0BfCgMzAIvKQp'],2,1,False,0.764,0.737,10,-4.694,1,0.0354,0.589,0.0,0.175,0.447,98.00299999999999,189573,4.0,2017,2017-05-26
