base_size,candidate_global_index,candidate_name,candidate_artists,malatya_centrality_weighted,weighted_degree,sim_to_first_base_sum,final_score
25,5122,Hey You,['Shakira'],26.558007832683945,176.0,190.0,91.93480469961037
25,5118,Animal City,['Shakira'],25.663936705641273,170.0,181.0,87.79836202338477
25,5117,Hips Don't Lie (feat. Wyclef Jean),"['Shakira', 'Wyclef Jean']",23.089343506334757,163.0,181.0,86.25360610380086
25,3368,Love Saves The Day (feat. Kathy Diamond) - Mixed,"['Kaine', 'Kathy Diamond']",21.394436618925813,159.0,183.0,86.03666197135549
25,5114,Donde Estas Corazon - Dub-A-Pella Mix,['Shakira'],22.78529283789756,158.0,178.0,84.87117570273854
25,3362,Tonight's The Night (feat. Jody Watley) - Mixed,"['Mark de Clive-Lowe', 'Jody Watley']",20.54190092738996,156.0,181.0,84.72514055643398
25,5651,Sæsonen Er Slut,['Søs Fenger'],23.077292830915198,160.0,176.0,84.24637569854913
25,3314,Du weckst Gefühle,['Andrea Berg'],21.26795319831965,157.0,178.0,83.9607719189918
25,4550,Got the Feelin' - Radio Edit,['Five'],20.787582045741967,158.0,178.0,83.67254922744519
25,7844,Candy,['Mandy Moore'],20.712716833490234,154.0,177.0,83.22763010009413
25,5121,Dreams for Plans,['Shakira'],19.676915327974356,150.0,178.0,83.00614919678462
25,3358,Sail On (feat. Jason Brock) - Mixed,"['Miguel Migs', 'Jason Brock']",18.639975356897775,149.0,179.0,82.78398521413867
25,25,Estoy Aquí - Timbalero Dub,['Shakira'],20.52661052962854,151.0,175.0,82.31596631777713
25,506,Troll Inc.,"['Kami-sama, I have noticed']",20.84189270824841,155.0,174.0,82.10513562494906
25,3113,Tragedy - New Album Version (Ric Wake Version),['Marc Anthony'],18.704676856468488,150.0,177.0,82.02280611388109
25,7854,Love You For Always,['Mandy Moore'],18.725297361081928,148.0,176.0,81.63517841664917
25,7408,One Heart,['Céline Dion'],20.631833946684434,149.0,172.0,81.17910036801065
25,1860,Seven Elevens,['Neil Hamburger'],17.932748683248196,144.0,176.0,81.15964920994892
25,5119,Don't Bother,['Shakira'],20.22664932214146,148.0,171.0,80.53598959328488
25,5996,Something's Gonna Blow,"['Drywall', 'Stan Ridgway']",18.858831025558654,145.0,171.0,79.7152986153352
25,3135,In Good Hands,['Rainforce'],18.080056350654303,143.0,169.0,78.44803381039259
25,7853,I Like It,['Mandy Moore'],16.767364595893202,142.0,170.0,78.06041875753593
25,4545,It's All Over,"['Five', 'Nigel Wright']",18.263022564039545,140.0,167.0,77.75781353842372
25,7216,Paid My Dues,['Anastacia'],17.572311211260587,141.0,168.0,77.74338672675636
25,5020,Everything Now (Todo Ya) - Remix por Bomba Estéreo,"['Arcade Fire', 'Bomba Estéreo']",18.13311691245754,142.0,167.0,77.67987014747452
25,1828,Painkiller - Sidney Samson Club Remix,"['Joe Killington', 'Sidney Samson']",15.449394685810303,134.0,171.0,77.66963681148619
